"COD_LOJA","NOME_LOJA","PERIODO","COD_PRODUTO","NOME_PRODUTO","Qtd Ano Ant","Valor Ano Ant","Qtd Atual","Valor Atual","Variacao (%)"
C18289,SUPER MUFFATO LONDRINA FINAL 17,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,45.00,2916.00,35.00,2268.00,-22.22
C18289,SUPER MUFFATO LONDRINA FINAL 17,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,11.00,521.40,18.00,853.20,63.64
C18473,SUPER MUFFATO FINAL 80,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,20.00,1296.00,33.33
C18473,SUPER MUFFATO FINAL 80,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,-27.00,979.60,588.89
C18474,SUPER MUFFATO FINAL -35,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,30.00,1944.00,100.00
C18474,SUPER MUFFATO FINAL -35,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,15.00,711.00,400.00
C18475,SUPER MUFFATO FINAL -90,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,20.00,1296.00,33.33
C18475,SUPER MUFFATO FINAL -90,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,25.00,1185.00,733.33
C18476,SUPER MUFFATO FINAL 98,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,20.00,1296.00,100.00
C18476,SUPER MUFFATO FINAL 98,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,25.00,1185.00,733.33
C18477,SUPER MUFFATO FINAL-25,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,20.00,1296.00,33.33
C18477,SUPER MUFFATO FINAL-25,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,25.00,1185.00,733.33
